Date,Open,High,Low,Close,Volume,log_returns,volatility,range,volume_ma,cpi,unemployment,consumer_confidence,interest_rate
2015-02-01,168.0728413404219,178.31432254521724,166.23290168906195,176.98687744140625,1901638100,,,12.08142085615529,,234.722,5.5,95.4,0.11
2015-03-01,177.08775189423602,178.16314855220068,171.4923202453097,173.43307495117188,2749923000,-0.020283801256073097,,6.670828306890968,,236.119,5.4,93.0,0.11
2015-04-01,174.17346051209728,179.31283615923732,172.58691582879166,175.92034912109375,2036685200,0.014239540968954856,,6.7259203304456605,,236.599,5.4,95.9,0.12
2015-05-01,176.71357801167653,180.40988344200542,174.48567088803048,178.18197631835938,1892519900,0.012774036137614075,,5.9242125539749395,,237.805,5.6,90.7,0.12
2015-06-01,178.8571181292524,180.03857925428454,173.23671118382703,173.71774291992188,2535242600,-0.025373551976850095,,6.801868070457516,,238.638,5.3,96.1,0.13
2015-07-01,176.15703692208785,180.77868682042987,173.0872462003253,178.5060272216797,2452758000,0.027190551647477967,,7.691440620104572,,238.654,5.2,93.1,0.13
2015-08-01,178.47203769372794,179.19283781365576,154.6768865701275,167.62599182128906,3734926900,-0.06288710810755749,,24.515951243528264,,238.316,5.1,91.9,0.14
2015-09-01,163.76755391168288,172.05260849878928,158.51837420907722,162.5040283203125,3279512900,-0.031032467363869998,,13.53423428971206,,237.945,5.0,87.2,0.14
2015-10-01,163.73248138822447,178.53046113488233,161.20931791692487,177.24330139160156,2536184400,0.08682058170526474,,17.321143217957456,,237.838,5.0,90.0,0.12
2015-11-01,177.57575324908225,180.42282671633222,172.34189338050143,177.89114379882812,1924512800,0.0036484386948378855,,8.080933335830792,,237.336,5.1,91.3,0.12
2015-12-01,178.53039864945364,179.86016842973157,170.33866249595764,173.7824249267578,2924882300,-0.023367726208723738,,9.521505933773938,,236.525,5.0,92.6,0.24
2016-01-01,171.91847172191402,173.1275247659707,155.22311154147246,166.11325073242188,3712950900,-0.04513429624835208,,17.904413224498228,2640144750.0,236.916,4.8,92.0,0.34
2016-02-01,165.09276784014827,168.6513508310292,155.28306712273,165.97598266601562,2920730800,-0.0008266939148811048,0.039161047695032064,13.368283708299202,2725069141.6666665,237.111,4.9,91.7,0.38
2016-03-01,167.21942926298885,177.38927998339472,166.73923606892447,176.23167419433594,2323306500,0.059956364929988126,0.043038314142604964,10.650043914470245,2689517766.6666665,238.132,5.0,91.0,0.36
2016-04-01,176.13211347467833,181.79488104714326,175.0460935266004,177.8386993408203,1910635600,0.00907749589695861,0.04292323933469864,6.748787520542862,2679013633.3333335,239.261,5.1,89.0,0.37
2016-05-01,178.34718146632454,181.59659980219965,174.77885926958234,180.8639678955078,1828530900,0.016868234134644666,0.04304227624459049,6.817740532617307,2673681216.6666665,240.229,4.8,94.7,0.37
2016-06-01,180.24339095802532,183.17390546521722,171.21915335560635,180.55368041992188,2612406900,-0.001717058108628322,0.04224668287675146,11.954752109610865,2680111575.0,241.018,4.9,93.5,0.38
2016-07-01,181.4926426019796,188.47579271707374,179.3959657271858,188.11190795898438,1648453700,0.04100890882978181,0.0431384736465072,9.079826989887948,2613086216.6666665,240.628,4.8,90.0,0.39
2016-08-01,188.17255610078828,190.26057370847596,185.62534965425203,188.33717346191406,1519703200,0.0011967914968318283,0.03767661355874821,4.635224054223926,2428484241.6666665,240.849,4.9,89.8,0.4
2016-09-01,188.32854159498,189.93137988565152,183.94457884901604,187.40150451660156,2292393000,-0.004980434191283578,0.035820503915156496,5.986801036635484,2346224250.0,241.428,5.0,91.2,0.4
2016-10-01,187.93016349766847,188.6964344100336,183.9159009685869,185.08273315429688,1725687400,-0.012450466791574577,0.0274171321771946,4.780533441446693,2278682833.3333335,241.729,4.9,87.2,0.4
2016-11-01,185.4135678713249,193.15474755992318,181.45156392879028,191.9008331298828,2073824400,0.03617581313269724,0.028984747213043078,11.703183631132902,2291125466.6666665,241.353,4.7,93.8,0.41
2016-12-01,192.2056328830583,198.8322129214078,190.82981057629254,194.643798828125,1821910200,0.01419247100288068,0.027476484093454497,8.002402345115257,2199211125.0,241.432,4.7,98.2,0.54
2017-01-01,197.11368440979578,201.20417312489948,196.09764461743592,199.29469299316406,1482408500,0.02361338314477912,0.021600100982436116,5.106528507463565,2013332591.6666667,242.839,4.7,98.5,0.65
2017-02-01,199.29465176639053,207.86100108934866,198.6727667377963,207.125244140625,1365136600,0.03853905582634276,0.021935436662871854,9.188234351552353,1883699741.6666667,243.603,4.6,96.3,0.66
2017-03-01,208.80704436023635,210.49754838071217,202.8684080521041,206.48590087890625,1921474100,-0.003091521002891895,0.01834926185575366,7.629140328608088,1850213708.3333333,243.801,4.4,96.9,0.79
2017-04-01,207.43693752930403,210.71827290124742,204.54266573892568,209.44268798828125,1549613700,0.014218002793211504,0.018304149420840323,6.1756071623217395,1820128550.0,244.524,4.4,97.0,0.9
2017-05-01,209.9705205765311,212.96156177899792,207.11144477288514,212.39854431152344,1492547000,0.014014299572518318,0.018276785564153002,5.850117006112782,1792129891.6666667,244.733,4.4,97.1,0.91
2017-06-01,212.86482106275898,215.53915103597916,211.09659723800266,212.71527099609375,1572753000,0.001490079746970352,0.018057878087625732,4.442553797976501,1705492066.6666667,244.955,4.3,95.0,1.04
2017-07-01,214.7073210741609,219.23342620189473,212.46193891333303,218.14610290527344,1055908800,0.025210519553310107,0.01638077025446586,6.771487288561701,1656113325.0,244.786,4.3,93.4,1.15
2017-08-01,218.75599739476064,220.0378026159124,213.77904233106386,218.7825164794922,1557031500,0.0029131258336034804,0.016281784645202725,6.258760284848535,1659224016.6666667,245.519,4.4,96.8,1.16
2017-09-01,219.16267339171873,222.16830061634568,216.53717560084507,222.08872985839844,1286405100,0.014998825112446212,0.015326727409499087,5.631125015500601,1575391691.6666667,246.819,4.3,95.1,1.15
2017-10-01,223.42190253826212,229.10762439798174,223.24421313967878,228.4501953125,1320624600,0.02824123688856517,0.013269335439111763,5.8634112583029605,1541636458.3333333,246.663,4.2,100.7,1.15
2017-11-01,229.24086967220418,236.35687706668895,227.09983992053694,235.43296813964844,1365620900,0.030108013634877473,0.012593132458882139,9.257037146152015,1482619500.0,246.669,4.2,98.5,1.16
2017-12-01,235.2108890974817,238.6223142351597,231.65731785678415,237.0764923095703,1715222900,0.006956604832677904,0.012910957019349197,6.9649963783755595,1473728891.6666667,246.524,4.1,95.9,1.3
2018-01-01,239.1633277946122,255.94155746283363,238.77043483776,251.7179718017578,1985506700,0.05992645984508105,0.01799940117852937,17.17112262507362,1515653741.6666667,247.867,4.0,95.7,1.41
2018-02-01,250.97686118873966,252.75379038717801,225.8407714028408,242.56541442871094,2923722000,-0.03703787704495198,0.023190578899489132,26.913018984337214,1645535858.3333333,248.991,4.1,99.7,1.42
2018-03-01,242.35116683809736,250.38757106827563,230.22511052846252,234.97552490234375,2323561800,-0.03179006485446667,0.02629159526813815,20.16246053981311,1679043166.6666667,249.554,4.0,101.4,1.51
2018-04-01,235.37868499317153,243.22314734109705,228.314195632292,237.1358642578125,1998466500,0.009151884422518464,0.026271876369278684,14.908951708805034,1716447566.6666667,250.546,4.0,98.8,1.69
2018-05-01,236.56213346984717,245.86791338398646,232.2409478971901,242.9004669189453,1606397200,0.024018514483448605,0.02655597068750607,13.626965486796365,1725935083.3333333,251.588,3.8,98.0,1.7
2018-06-01,244.21830670859453,250.5566393466269,240.70397526435102,243.2052459716797,1599001000,0.001253962192127922,0.026563891199120674,9.85266408227588,1728122416.6666667,251.989,4.0,98.2,1.82
2018-07-01,242.7034199373501,256.085369157639,242.4602576750607,253.3477325439453,1266892500,0.04085726151964586,0.027676820999561935,13.62511148257829,1745704391.6666667,252.006,3.8,97.9,1.91
2018-08-01,253.55476293559573,262.72220735943176,251.39348331936284,261.4344482421875,1308443700,0.03142059415616405,0.028003796216116827,11.32872404006892,1724988741.6666667,252.146,3.8,96.2,1.91
2018-09-01,261.0112960621331,264.7034983822494,258.19261457763815,261.80377197265625,1228103300,0.0014116850701437755,0.028270296650050063,6.51088380461124,1720130258.3333333,252.439,3.7,100.1,1.95
2018-10-01,264.2462858715094,265.2413649234636,235.0635118272439,244.8152313232422,3024345800,-0.06709149305224926,0.036120559046884854,30.177853096219707,1862107025.0,252.885,3.8,98.6,2.19
2018-11-01,245.69262516068463,254.39498819919623,237.97628589114822,249.35629272460938,2021061200,0.01837900002675852,0.03555625507121319,16.41870230804801,1916727050.0,252.038,3.8,97.5,2.2
