,Date,Open,High,Low,Close,Volume,Date,cpi,unemployment,consumer_confidence,interest_rate
23,2017-01-01,197.11363913438848,201.20412690994027,196.0975995754047,199.29464721679688,1482408500,2017-01-01,242.839,4.7,98.5,0.65
24,2017-02-01,199.29465176639053,207.86100108934866,198.6727667377963,207.125244140625,1365136600,2017-02-01,243.603,4.6,96.3,0.66
25,2017-03-01,208.80699806928914,210.49750171499298,202.86836307770778,206.48585510253906,1921474100,2017-03-01,243.801,4.4,96.9,0.79
26,2017-04-01,207.4369828672889,210.71831895640992,204.54271044433057,209.44273376464844,1549613700,2017-04-01,244.524,4.4,97.0,0.9
27,2017-05-01,209.97050549217218,212.96154647976147,207.11142989392323,212.39852905273438,1492547000,2017-05-01,244.733,4.4,97.1,0.91
28,2017-06-01,212.8647905237254,215.539120113268,211.09656695265048,212.71524047851562,1572753000,2017-06-01,244.955,4.3,95.0,1.04
29,2017-07-01,214.70730605590626,219.23341086705005,212.46192405213742,218.14608764648438,1055908800,2017-07-01,244.786,4.3,93.4,1.15
30,2017-08-01,218.75605842251872,220.03786400126384,213.77910197036897,218.78257751464844,1557031500,2017-08-01,245.519,4.4,96.8,1.16
31,2017-09-01,219.16268844947066,222.1683158806017,216.53719047821002,222.0887451171875,1286405100,2017-09-01,246.819,4.3,95.1,1.15
32,2017-10-01,223.42188761532591,229.10760909528122,223.24419822861094,228.45018005371094,1320624600,2017-10-01,246.663,4.2,100.7,1.15
33,2017-11-01,229.24089938714263,236.35690770402712,227.09986935794822,235.43299865722656,1365620900,2017-11-01,246.669,4.2,98.5,1.16
34,2017-12-01,235.21087395876714,238.62229887687798,231.65730294678562,237.07647705078125,1715222900,2017-12-01,246.524,4.1,95.9,1.3
35,2018-01-01,239.1633277946122,255.94155746283363,238.77043483776,251.7179718017578,1985506700,2018-01-01,247.867,4.0,95.7,1.41
36,2018-02-01,250.97686118873966,252.75379038717801,225.8407714028408,242.56541442871094,2923722000,2018-02-01,248.991,4.1,99.7,1.42
37,2018-03-01,242.3511353626036,250.38753854904937,230.22508062784712,234.97549438476562,2323561800,2018-03-01,249.554,4.0,101.4,1.51
38,2018-04-01,235.37868499317153,243.22314734109705,228.314195632292,237.1358642578125,1998466500,2018-04-01,250.546,4.0,98.8,1.69
39,2018-05-01,236.56205916674392,245.86783615797955,232.24087495135186,242.900390625,1606397200,2018-05-01,251.588,3.8,98.0,1.7
40,2018-06-01,244.21832203094343,250.55665506664516,240.7039903662094,243.20526123046875,1599001000,2018-06-01,251.989,4.0,98.2,1.82
41,2018-07-01,242.7033614665637,256.0853074629462,242.46019926285558,253.34767150878906,1266892500,2018-07-01,252.006,3.8,97.9,1.91
42,2018-08-01,253.5547333378234,262.7221766915319,251.39345397387942,261.4344177246094,1308443700,2018-08-01,252.146,3.8,96.2,1.91
43,2018-09-01,261.0111743613255,264.70337495989185,258.1924941910872,261.80364990234375,1228103300,2018-09-01,252.439,3.7,100.1,1.95
44,2018-10-01,264.2463023413929,265.2413814553682,235.06352647822996,244.81524658203125,3024345800,2018-10-01,252.885,3.8,98.6,2.19
45,2018-11-01,245.6926401952839,254.39500376631673,237.9763004535637,249.35630798339844,2021061200,2018-11-01,252.038,3.8,97.5,2.2
46,2018-12-01,253.5447165272398,253.6532655785616,211.46215142278209,226.0806884765625,3102780500,2018-12-01,251.233,3.9,98.3,2.27
47,2019-01-01,223.81587565936775,246.09919999289028,221.7140212999574,245.60784912109375,2048691700,2019-01-01,251.712,4.0,91.2,2.4
48,2019-02-01,245.80808661483113,255.9625164085581,243.69712391195162,253.56948852539062,1371716300,2019-02-01,252.776,3.8,93.8,2.4
49,2019-03-01,255.17090639538867,259.48379897091723,247.87355991099298,257.027099609375,1678081300,2019-03-01,254.202,3.8,98.4,2.41
50,2019-04-01,260.18807656342403,269.0986267486085,259.9138890544392,268.70562744140625,1209204700,2019-04-01,255.548,3.7,97.2,2.42
51,2019-05-01,269.34541115171567,269.55561881806125,251.5425760993931,251.5699920654297,1845593200,2019-05-01,256.092,3.6,100.0,2.39
52,2019-06-01,251.6065284169816,270.7984834626101,249.57766348226852,267.7734680175781,1340435600,2019-06-01,256.143,3.6,98.2,2.38
53,2019-07-01,272.45534334409535,277.552189042142,270.2972210048725,273.14410400390625,1110102300,2019-07-01,256.571,3.7,98.4,2.4
54,2019-08-01,273.30028591397144,276.3032728563212,258.7169196983192,268.57080078125,2034004800,2019-08-01,256.558,3.6,89.8,2.13
55,2019-09-01,266.84428622718275,277.91955676201707,265.6504174540266,272.53802490234375,1303830000,2019-09-01,256.759,3.5,93.2,2.04
56,2019-10-01,274.6914586361096,280.9742833289093,262.7716323865329,279.8487243652344,1386748300,2019-10-01,257.346,3.6,95.5,1.83
57,2019-11-01,281.3156988760089,291.0582312205735,281.1496115474519,289.9787902832031,1037123500,2019-11-01,257.208,3.6,96.8,1.55
58,2019-12-01,290.23712734311783,298.73415996937297,283.3546246725607,296.9443359375,1285175800,2019-12-01,256.974,3.6,99.3,1.55
59,2020-01-01,299.9618147035326,308.686058074693,297.01353782065377,298.2837219238281,1392003800,2020-01-01,257.971,3.6,99.8,1.55
60,2020-02-01,299.78572195753213,314.3693726833418,264.73114579745976,274.669921875,2110214900,2020-02-01,258.678,3.5,101.0,1.58
61,2020-03-01,276.47775303120756,290.9687115962822,202.35416178851887,238.96630859375,5926017600,2020-03-01,258.115,4.4,89.1,0.65
62,2020-04-01,231.26024213553444,274.9980744618329,227.45532953121364,270.8947448730469,2819312300,2020-04-01,256.389,14.8,71.8,0.05
63,2020-05-01,266.07332198008373,286.1516870792885,254.58397599282773,283.8016052246094,1910460500,2020-05-01,256.394,13.2,72.3,0.05
64,2020-06-01,283.1487211721835,301.60440822045723,276.73259372486285,287.5691223144531,2358674500,2020-06-01,257.797,11.0,78.1,0.08
65,2020-07-01,289.96810538310734,306.5098816592485,289.4997652685571,305.8448181152344,1505145300,2020-07-01,259.101,10.2,72.5,0.09
66,2020-08-01,307.530805996232,329.0556956090468,306.97816818775647,327.19171142578125,1045563300,2020-08-01,259.918,8.4,74.1,0.1
67,2020-09-01,328.0347319538368,336.0339880637992,299.5502864970748,313.684814453125,1814712700,2020-09-01,260.28,7.8,80.4,0.09
68,2020-10-01,317.57364339976584,332.9308446640333,303.38256554354604,307.0878601074219,1629016100,2020-10-01,260.388,6.9,81.8,0.09
69,2020-11-01,310.52989749957385,342.6737776624,307.74620493208505,340.4919738769531,1535244300,2020-11-01,260.229,6.7,76.9,0.09
70,2020-12-01,343.79291070954844,355.9150352672609,340.46378135754446,351.6078796386719,1344541500,2020-12-01,260.474,6.7,80.7,0.09
