,Date,Open,High,Low,Close,Volume,Date.1,cpi,unemployment,consumer_confidence,interest_rate,log_returns,range,volatility,volume_ma
57,2019-11-01,281.3157876936133,291.0583231141113,281.1497003126188,289.9788818359375,1037123500,2019-11-01,257.208,3.6,96.8,1.55,0.035558693926430074,9.908622801492527,0.05120453516164955,1622359350.0
58,2019-12-01,290.2370975148533,298.73412926785096,283.3545955516251,296.9443054199219,1285175800,2019-12-01,256.974,3.6,99.3,1.55,0.02373649830572333,15.379533716225865,0.03754442803747669,1470892291.6666667
59,2020-01-01,299.9618147035326,308.686058074693,297.01353782065377,298.2837219238281,1392003800,2020-01-01,257.971,3.6,99.8,1.55,0.0045005231715107286,11.672520254039227,0.032628942258328415,1416168300.0
60,2020-02-01,299.78572195753213,314.3693726833418,264.73114579745976,274.669921875,2110214900,2020-02-01,258.678,3.5,101.0,1.58,-0.08247502789298533,49.638226885882034,0.042756644059298604,1477709850.0
61,2020-03-01,276.4777706852264,290.9687301755967,202.35417470950128,238.96632385253903,5926017600,2020-03-01,258.115,4.4,89.1,0.65,-0.1392474550369105,88.61455546609542,0.05985279556433626,1831704541.6666667
62,2020-04-01,231.26024213553444,274.9980744618329,227.45532953121364,270.8947448730469,2819312300,2020-04-01,256.389,14.8,71.8,0.05,0.1254077125114259,47.54274493061928,0.06980192730264066,1965880175.0
63,2020-05-01,266.07337920254645,286.1517486198598,254.58403074436,283.8016662597656,1910460500,2020-05-01,256.394,13.2,72.3,0.05,0.04654528582293782,31.567717875499795,0.06756411296972861,1971285783.3333333
64,2020-06-01,283.14884136607844,301.60453624861293,276.7327111951737,287.5692443847656,2358674500,2020-06-01,257.797,11.0,78.1,0.08,0.01318804531642126,24.871825053439238,0.06555972903556807,2056139025.0
65,2020-07-01,289.96804751634755,306.5098204913704,289.4997074952604,305.8447570800781,1505145300,2020-07-01,259.101,10.2,72.5,0.09,0.06161396214174797,17.010112996110024,0.06744637327965308,2089059275.0
66,2020-08-01,307.530834680013,329.05572630048107,306.97819681999226,327.1917419433594,1045563300,2020-08-01,259.918,8.4,74.1,0.1,0.06746872243727253,22.077529480488806,0.06883665986610148,2006689150.0
