observation_date,CORESTICKM157SFRBATL
01-02-89,0.370752518
01-03-89,0.368301031
01-04-89,0.352803894
01-05-89,0.476462759
01-06-89,0.397967114
01-07-89,0.451132533
01-08-89,0.362529257
01-09-89,0.276363544
01-10-89,0.506180813
01-11-89,0.386978431
01-12-89,0.39568828
01-01-90,0.453992409
01-02-90,0.381899762
01-03-90,0.630387321
01-04-90,0.434333392
01-05-90,0.371237253
01-06-90,0.592683584
01-07-90,0.590228622
01-08-90,0.6665797
01-09-90,0.365510265
01-10-90,0.381078275
01-11-90,0.277482993
01-12-90,0.365273957
01-01-91,0.610113633
01-02-91,0.42655129
01-03-91,0.261492658
01-04-91,0.245676351
01-05-91,0.320025326
01-06-91,0.317554418
01-07-91,0.378144823
01-08-91,0.358642977
01-09-91,0.414062202
01-10-91,0.232489018
01-11-91,0.335834283
01-12-91,0.362667525
01-01-92,0.326006985
01-02-92,0.242647204
01-03-92,0.371617395
01-04-92,0.333020764
01-05-92,0.185038128
01-06-92,0.253632014
01-07-92,0.290368816
01-08-92,0.222037965
01-09-92,0.143829492
01-10-92,0.510520423
01-11-92,0.329594652
01-12-92,0.216226972
01-01-93,0.374670523
01-02-93,0.274985869
01-03-93,0.151197627
01-04-93,0.400802787
01-05-93,0.309536539
01-06-93,0.289063376
01-07-93,0.148303365
01-08-93,0.305564596
01-09-93,0.273060086
01-10-93,0.299450841
01-11-93,0.340789126
01-12-93,0.324932957
01-01-94,0.207248323
01-02-94,0.313941735
01-03-94,0.300559304
01-04-94,0.191651657
01-05-94,0.184468283
01-06-94,0.259144996
01-07-94,0.186289507
01-08-94,0.376332538
01-09-94,0.22216735
01-10-94,0.212009515
01-11-94,0.305791801
01-12-94,0.104263456
01-01-95,0.443646711
01-02-95,0.294392578
01-03-95,0.342752582
01-04-95,0.32683986
01-05-95,0.231609032
01-06-95,0.236823278
01-07-95,0.23929069
01-08-95,0.231857924
01-09-95,0.332406372
01-10-95,0.321012926
01-11-95,0.224205301
01-12-95,0.104136449
01-01-96,0.343810708
01-02-96,0.277748739
01-03-96,0.220860977
01-04-96,0.20064846
01-05-96,0.273445633
01-06-96,0.240726244
01-07-96,0.273954993
01-08-96,0.228019048
01-09-96,0.312567257
01-10-96,0.204839896
01-11-96,0.259885727
01-12-96,0.178044436
01-01-97,0.20359438
01-02-97,0.170613334
01-03-97,0.271694716
01-04-97,0.255507731
01-05-97,0.233771932
01-06-97,0.200036066
01-07-97,0.199641796
01-08-97,0.131872001
01-09-97,0.206183538
01-10-97,0.277245547
01-11-97,0.191182332
01-12-97,0.249312819
01-01-98,0.25402
01-02-98,0.18854
01-03-98,0.2529
01-04-98,0.22445
01-05-98,0.20529
01-06-98,0.18917
01-07-98,0.2027
01-08-98,0.16178
01-09-98,0.16736
01-10-98,0.21942
01-11-98,0.17997
01-12-98,0.16547
01-01-99,0.20048
01-02-99,0.12309
01-03-99,0.17576
01-04-99,0.21375
01-05-99,0.13347
01-06-99,0.10771
01-07-99,0.24283
01-08-99,0.14579
01-09-99,0.14372
01-10-99,0.19867
01-11-99,0.27637
01-12-99,0.1851
01-01-00,0.36492
01-02-00,0.16585
01-03-00,0.27758
01-04-00,0.14135
01-05-00,0.27956
01-06-00,0.24714
01-07-00,0.25403
01-08-00,0.30359
01-09-00,0.16539
01-10-00,0.22093
01-11-00,0.22786
01-12-00,0.28439
01-01-01,0.27367
01-02-01,0.26445
01-03-01,0.2602
01-04-01,0.26703
01-05-01,0.26292
01-06-01,0.37028
01-07-01,0.26102
01-08-01,0.34626
01-09-01,0.29833
01-10-01,0.31333
01-11-01,0.34208
01-12-01,0.2485
01-01-02,0.26645
01-02-02,0.23538
01-03-02,0.2031
01-04-02,0.26446
01-05-02,0.24965
01-06-02,0.16611
01-07-02,0.2824
01-08-02,0.23245
01-09-02,0.18165
01-10-02,0.22627
01-11-02,0.23205
01-12-02,0.21714
01-01-03,0.25279
01-02-03,0.15488
01-03-03,0.12847
01-04-03,0.09976
01-05-03,0.14007
01-06-03,0.09085
01-07-03,0.24957
01-08-03,0.16095
01-09-03,0.20031
01-10-03,0.20309
01-11-03,0.10967
01-12-03,0.15999
01-01-04,0.23514
01-02-04,0.24069
01-03-04,0.21621
01-04-04,0.21867
01-05-04,0.1212
01-06-04,0.23006
01-07-04,0.13617
01-08-04,0.15573
01-09-04,0.18291
01-10-04,0.20056
01-11-04,0.1728
01-12-04,0.17016
01-01-05,0.23969
01-02-05,0.2116
01-03-05,0.17654
01-04-05,0.21199
01-05-05,0.23723
01-06-05,0.07405
01-07-05,0.23569
01-08-05,0.12071
01-09-05,0.25121
01-10-05,0.19244
01-11-05,0.27725
01-12-05,0.20745
01-01-06,0.22186
01-02-06,0.25867
01-03-06,0.25708
01-04-06,0.30963
01-05-06,0.3379
01-06-06,0.31833
01-07-06,0.29397
01-08-06,0.24766
01-09-06,0.23873
01-10-06,0.26905
01-11-06,0.13675
01-12-06,0.18282
01-01-07,0.24211
01-02-07,0.27393
01-03-07,0.20602
01-04-07,0.17106
01-05-07,0.15929
01-06-07,0.16949
01-07-07,0.19976
01-08-07,0.18297
01-09-07,0.25423
01-10-07,0.28825
01-11-07,0.28803
01-12-07,0.24424
01-01-08,0.27656
01-02-08,0.1471
01-03-08,0.27556
01-04-08,0.20672
01-05-08,0.22514
01-06-08,0.30678
01-07-08,0.2743
01-08-08,0.25131
01-09-08,0.24534
01-10-08,0.14287
01-11-08,0.14663
01-12-08,0.08565
01-01-09,0.19982
01-02-09,0.15354
01-03-09,0.173
01-04-09,0.13063
01-05-09,0.14084
01-06-09,0.11479
01-07-09,0.10941
01-08-09,0.10063
01-09-09,0.09343
01-10-09,0.05057
01-11-09,0.000979
01-12-09,0.04339
01-01-10,0.05344
01-02-10,0.03269
01-03-10,0.05089
01-04-10,0.07498
01-05-10,0.06528
01-06-10,0.09961
01-07-10,0.0757
01-08-10,0.04802
01-09-10,0.06635
01-10-10,0.05899
01-11-10,0.15095
01-12-10,0.05081
01-01-11,0.1757
01-02-11,0.19503
01-03-11,0.11238
01-04-11,0.10497
